Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
14,Q22,1544683245.760871,254291,8,0
2,Q2,1544683245.760871,15667939,4,0
2,Q2,1544683245.760871,15873193,1,0
5,Q6,1544683245.760871,352430,0,0
6,Q11,1544683245.760872,290122,2,0
7,Q12,1544683245.762023,1189751,8,0
4,Q4,1544683246.017235,106483,3,0
9,Q16,1544683246.018283,40385,2,0
2,Q2,1544683246.018489,16353790,2,0
2,Q2,1544683246.019361,16545014,5,0
5,Q6,1544683246.020080,210605,0,0
6,Q11,1544683246.023381,139381,3,0
9,Q16,1544683246.024493,113629,6,0
1,Q1,1544683246.037952,268370,6,0
4,Q4,1544683246.062409,214868,3,0
1,Q1,1544683246.130798,286508,0,0
13,Q21,1544683246.177590,796410,3,0
13,Q21,1544683246.205458,686103,6,0
11,Q18,1544683246.317165,4408838,0,0
4,Q4,1544683246.792051,204911,6,0
14,Q22,1544683246.813105,120738,9,0
12,Q19,1544683246.832913,325747,9,0
5,Q6,1544683246.852645,154639,8,0
1,Q1,1544683246.874714,201311,3,0
11,Q18,1544683246.896800,4369038,6,0
7,Q12,1544683246.908377,684865,8,0
9,Q16,1544683246.975163,101887,3,0
13,Q21,1544683246.976359,667585,3,0
8,Q14,1544683247.058563,613990,9,0
5,Q6,1544683247.493082,155563,8,0
1,Q1,1544683247.504768,206430,7,0
2,Q2,1544683247.543668,15574141,3,0
13,Q21,1544683247.548384,682363,8,0
14,Q22,1544683247.573031,101182,9,0
9,Q16,1544683247.574191,105639,9,0
2,Q2,1544683247.580052,16360405,9,0
4,Q4,1544683247.610775,169322,7,0
7,Q12,1544683247.679584,681772,7,0
7,Q12,1544683248.131555,681474,8,0
2,Q2,1544683248.262025,16501764,7,0
5,Q6,1544683248.713074,155094,8,0
8,Q14,1544683248.768883,627720,8,0
7,Q12,1544683249.296282,688837,8,0
5,Q6,1544683249.884552,156436,8,0
6,Q11,1544683249.941437,137545,8,0
4,Q4,1544683249.978690,168840,8,0
9,Q16,1544683250.047662,102339,8,0
14,Q22,1544683250.049997,104470,8,0
13,Q21,1544683250.054671,688643,8,0
2,Q2,1544683250.625616,15873139,0,0
6,Q11,1544683250.643654,181596,8,0
5,Q6,1544683250.725595,218581,8,0
2,Q2,1544683250.843565,15465869,8,0
5,Q6,1544683251.165209,156126,6,0
6,Q11,1544683251.221866,137040,6,0
2,Q2,1544683251.259095,16301045,6,0
9,Q16,1544683261.328567,103322,4,0
13,Q21,1544683261.331998,668153,4,0
13,Q21,1544683261.533279,671745,1,0
2,Q2,1544683261.900053,17093281,4,0
14,Q22,1544683262.105199,103029,1,0
7,Q12,1544683262.108671,684052,1,0
2,Q2,1544683262.272247,18007527,2,0
6,Q11,1544683262.464358,143459,5,0
1,Q1,1544683262.508890,192993,5,0
5,Q6,1544683262.602095,155024,5,0
6,Q11,1544683262.657298,137210,5,0
1,Q1,1544683262.693163,193314,1,0
1,Q1,1544683262.695479,191008,5,0
4,Q4,1544683262.786516,169278,1,0
1,Q1,1544683262.786516,193214,5,0
1,Q1,1544683262.856614,192662,1,0
11,Q18,1544683262.879683,4375057,5,0
4,Q4,1544683262.948850,169807,1,0
6,Q11,1544683263.017542,138791,3,0
2,Q2,1544683263.018706,16313872,1,0
2,Q2,1544683263.056272,16439065,3,0
8,Q14,1544683263.840606,649944,9,0
14,Q22,1544683264.391300,100817,9,0
1,Q1,1544683264.392451,198543,9,0
11,Q18,1544683264.491503,4566907,9,0
4,Q4,1544683264.663016,170910,7,0
13,Q21,1544683264.734149,684730,7,0
4,Q4,1544683265.319496,177604,7,0
2,Q2,1544683265.397809,17236642,7,0
13,Q21,1544683266.209559,767772,8,0
14,Q22,1544683266.398212,133333,0,0
14,Q22,1544683266.431378,102149,0,0
8,Q14,1544683266.432534,610043,0,0
4,Q4,1544683266.877738,169212,8,0
1,Q1,1544683266.943297,199724,0,0
2,Q2,1544683266.947920,15577861,8,0
6,Q11,1544683267.043483,248380,0,0
14,Q22,1544683267.155587,104423,5,0
6,Q11,1544683267.160170,136389,5,0
9,Q16,1544683267.192350,101597,0,0
7,Q12,1544683267.193532,711945,0,0
5,Q6,1544683267.195817,156246,5,0
14,Q22,1544683267.252246,101555,5,0
2,Q2,1544683267.253401,17832322,5,0
7,Q12,1544683267.460801,707566,6,0
