Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Q17,1544646341.093422,743970,7,0
2,Q17,1544646341.093422,731595,6,0
2,Q17,1544646341.093422,753027,5,0
1,Q11,1544646341.093422,438376,4,0
1,Q11,1544646341.093422,438375,1,0
2,Q17,1544646341.093422,749511,3,0
2,Q17,1544646341.093422,714439,0,0
1,Q11,1544646341.135578,412352,9,0
2,Q17,1544646341.147471,670266,8,0
1,Q11,1544646341.178017,410647,2,0
2,Q17,1544646341.431708,655697,1,0
2,Q17,1544646341.431708,707701,4,0
2,Q17,1544646341.447990,677341,9,0
1,Q11,1544646341.488259,410180,2,0
1,Q11,1544646341.708362,400276,0,0
1,Q11,1544646341.718159,404644,8,0
1,Q11,1544646341.724725,397957,6,0
1,Q11,1544646341.737848,398037,7,0
2,Q17,1544646341.743424,702145,3,0
1,Q11,1544646341.746755,404893,5,0
1,Q11,1544646341.799164,406434,2,0
2,Q17,1544646341.987327,672845,1,0
2,Q17,1544646342.009079,691744,0,0
1,Q11,1544646342.023227,399005,6,0
2,Q17,1544646342.023227,664353,8,0
1,Q11,1544646342.025399,398066,9,0
2,Q17,1544646342.036260,718518,7,0
1,Q11,1544646342.039524,400687,4,0
2,Q17,1544646342.051448,734593,5,0
2,Q17,1544646342.105391,707571,2,0
2,Q17,1544646342.322343,694602,6,0
2,Q17,1544646342.323430,636077,9,0
1,Q11,1544646342.340720,400897,4,0
1,Q11,1544646342.346124,404987,3,0
1,Q11,1544646342.559951,398453,1,0
1,Q11,1544646342.587835,406345,8,0
1,Q11,1544646342.601791,401443,0,0
1,Q11,1544646342.641520,399664,4,0
2,Q17,1544646342.651233,700242,3,0
1,Q11,1544646342.655541,399026,7,0
2,Q17,1544646342.685785,711353,5,0
2,Q17,1544646342.712738,696329,2,0
1,Q11,1544646342.857664,397549,1,0
2,Q17,1544646342.858745,663005,9,0
2,Q17,1544646342.894236,664519,8,0
2,Q17,1544646342.903919,731742,0,0
1,Q11,1544646342.917821,398635,6,0
2,Q17,1544646342.941461,723120,4,0
2,Q17,1544646342.954260,745937,7,0
